restName,restArea,restRating,restNumRev,itemCat,itemName,itemPrice,itemDesc,itemBest
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,New Arrivals,Trixy blueberry cheesecake Sundae,70,"Parlour like fun in a cup!
3 delicious layers - blueberry sauce, creamy cheesecake dessert  and crunchy cinnamon cookies.",0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,New Arrivals,Cornetto Black Forest [110ml],65,N.A.,0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Tub 700ML,Cadbury Crackle ,349,"A Cadbury lover's delight!
Cadbury Crackle chunks in a rich creamy chocolate tub with swirls of rich chocolate sauce. A perfect partner for celebrations!",0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Tub 700ML,Choco Brownie Fudge,299,"Rich chocolate tub  full of chunky brownie pieces and chocolate fudge.  
A tub that will make a dark chocolate lover Rock N Roll.",0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Tub 700ML,"Oreo & Cream  [Tub, 700ml]",299,"The Original Oreo Tub!
Crunchy Oreo cookie chunks in rich creamy vanilla.",0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Tub 700ML,"Darkly Divine Chocolate Sensation [Tub, 700ml]            ",239,A real chocolate indulgence made with rich cocoa. Loaded with choco chips & rich chocolate sauce in every creamy scoop.,1
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Tub 700ML,"Creme Caramel [Tub, 700ml]",239,"Luxurious creme caramel, beautiful golden syrup and  chunks of choco cookies  in a creamy tub.",0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Tub 700ML,"Nice Fruit & Nut [Tub, 700ml]",239,"A dry fruit lover's paradise! Crunchy cashew nuts, almond and delicious raisins in every bite of creamy scoop.",0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Tub 700ML,"Tender Coconut [Tub, 500ml] ",229,Feel naturally refreshed with every bite. Creamy tub loaded with chunks of coconut in every scoop.,0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Tub 700ML,"Butterscotch [Tub, 700ml]",175,Creamy butterscotch tub loaded with chunks of caramel coated cashew nuts.,1
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Tub 700ML,"Alphonso Mango [Tub, 700ml]",170,Enjoy the delight of real  alphonso mango in a delicious creamy tub.  A fruit lover's ultimate delight!,0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Tub 700ML,"Vanilla [Tub, 700ml]",145,Rich creamy vanilla dessert thats more vanilla-tasting than any vanilla you have ever tasted in all of vanillas entirety.,0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Cake,Cassatta Cake [1000ml].,399,"A perfect cake for celebration! Creamy rainbow trio between crunchy cashew nuts, tutti frutti and soft cake.",0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Family Pack 700ML,Kesar Pista ,180,"Royal delight in every bite!
A rich and creamy scoop loaded with rich flavorful kesar and pieces of pista.",0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Family Pack 700ML,Chocolate ,145,Finest chocolate scoop made with rich cocoa. So rich & chocolatey that will make you go Choco Doodle Do.,0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Family Pack 700ML,Tutti Frutti ,150,Rich creamy scoop loaded with tiny bites of tutti fruitty.,0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Family Pack 700ML,Strawberry,120,"A fruit lover's delight.
A scoop that tastes like fresh strawberries.",0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Family Pack 700ML,Mango X 2,300,N.A.,0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Family Pack 700ML,Oreo X 2,350,N.A.,0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Family Pack 700ML,Kulfi X 2,360,N.A.,0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Family Pack 700ML,Butterscotch X 2,290,N.A.,0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Family Pack 700ML,Vanilla X 2,240,N.A.,0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Cornetto Cone,Cornetto Double Chocolate  ,40,"A yummilicious duo of milk and dark chocolate topped with chocolate sauce, chocochips in a crunchy waffle cone.",0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Magnum Ice Cream,Magnum Almond  Ice Cream,90,"Expertly crafted ice cream with Madagascar vanilla, crunchy Australian almonds and Belgian chocolate.",1
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Magnum Ice Cream,Magnum Brownie Ice Cream ,90,"Expertly crafted ice cream with brownie flavour, crunchy cashew and Belgian chocolate.",1
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Magnum Ice Cream,Magnum Chocolate Truffle Ice Cream,80,Rich chocolate ice cream with truffle sauce wrapped in thick Belgian chocolate.,0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Sundae & Cups 100 ML,Oreo and Cream Cup,60,Crunchy Oreo cookie chunks with rich and creamy vanilla in a cup.,1
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Sundae & Cups 100 ML,Tender Coconut Cup ,50,Feel naturally refreshed with every bite. Creamy cup loaded with chunks of coconut.,1
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Kulfi Ice Cream,"Kulfi Tub Ice Cream [Tub, 700ml]",265,Rich & creamy desi kulfi ice cream loaded with almonds and a twist of rose sauce. A perfect companion for hosting!,0
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Kulfi Ice Cream,Kulfi Cup Ice Cream [100ml],50,"Your favourite Desi Matka Kulfi!
Rich creamy kulfi loaded with almonds - a desi delight for an  icecream lover.",1
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Bundles/Combos,Aamras Sorbet Stick [60ml x 2],60,"Aamras All Year Round!
Delicious mango stick made with pulp of real alphonso mangoes.",1
Kwality Walls Frozen Dessert and Ice Cream Shop,Btm 2nd Stage,4.3,100+,Bundles/Combos,Cornetto Choco Vanilla x 4           ,140,A yummilicious duo of rich and creamy vanilla  topped with chocolate sauce and chocochips in a crunchy waffle cone,0
Craving O Clock,Btm 2nd Stage,4.3,100+,Burger,Egg Jalapeno Gherkin Burger,155,"Double egg omelette , dressed with chill garlic sauce, classic burger mayonnaise, topped with veggies, served in a toasted bun",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Burger,Chicken Supreme Burger,210,"Crispy chicken patty, topped with iceberg lettuce, jalapeno, gherkin,
special creamy mayo",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Burger,Crisp Cross Chicken Burger,235,"Crispy fried chicken layered with special red sauce, topped with onion slices, iceberg lettuce; dressed with burger mayo, cheese mayo.",1
Craving O Clock,Btm 2nd Stage,4.3,100+,Burger,Zinger Chicken Burger,225,"Crispy chicken patty, dressed with thousand island sauce, topped with red onions and iceberg lettuce.",1
Craving O Clock,Btm 2nd Stage,4.3,100+,Burger,Tandoori Chicken Burger,225,"Chicken slice marinated in in-house made tandoori paste; grilled to perfection , dressed and topped with special green mayo , coleslaw, veggies",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Burger,Peri Peri Chicken Burger,225,"Chicken slice marinated in in-house made peri peri sauce; grilled to perfection, dressed with blend of green sauce and mayo, topped with veggies",1
Craving O Clock,Btm 2nd Stage,4.3,100+,Burger,Tandoori Zinger Chicken Burger,235,N.A.,0
Craving O Clock,Btm 2nd Stage,4.3,100+,Burger,All American Chicken Supreme Burger,325,"Double delight of a chicken patty served with onion rings, iceberg lettuce, gherkins, jalapeno; dressed with cheese mayo and burger mayo.",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Burger,All American Chicken Burger,345,"Double delight of a chicken zinger served with onion rings, iceberg lettuce, gherkins, jalapeno; dressed with special yellow mayo and tandoori mayo and cheese slice.",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Burger,Double Crisp Cross Chicken Burger,355,"Double crispy fried chicken layered with special red sauce, topped with onion slices, iceberg lettuce; dressed with burger mayo, cheese mayo, cheese slice, gherkin and jalapeno.",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Burger,Veggie Supreme Jalapeno Burger,155,"Crispy vegetable patty, topped with veggies, special creamy mayo",1
Craving O Clock,Btm 2nd Stage,4.3,100+,Burger,Crunchy Paneer Burger,199,"Homemade paneer patty; fried to perfection, dressed with in-house blend of mayo and orange sauces, topped with fresh veggies.",1
Craving O Clock,Btm 2nd Stage,4.3,100+,Burger,All American Veg Burger,249,"Double delight of a vegetable patty and potato patty served with onion rings, iceberg lettuce, gherkins, jalapeno; dressed with cheese mayo and burger mayo.",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Sandwich,Cheese Corn Grilled Sandwich,145,"Grilled sandwich with sweet corn, chopped onion, chopped coriander, dressed with cheese mayo, thousand island mayo, chilli garlic sauce and cheese slice.",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Sandwich,Tandoori Paneer Sandwich,185,"Grilled sandwich with chopped onion, chopped coriander, tandoori paneer cubes; dressed with cheese mayo, tandoori mayo & thousand island mayo",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Sandwich,Peri Peri Paneer Sandwich,185,"Grilled sandwich with chopped onion, chopped coriander, peri peri paneer cubes; dressed with cheese mayo, tandoori mayo & thousand island mayo",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Sandwich,Classic Chicken Sandwich,199,"Grilled sandwich with boiled shredded chicken, onion, fresh coriander leaves, gherkins, jalapeno, olives; dressed with classic mayonnaise, chili garlic sauce",1
Craving O Clock,Btm 2nd Stage,4.3,100+,Sandwich,Peri Peri Chicken Sandwich,199,"Grilled sandwich with chopped onion, peri peri masala, shredded chicken, chopped coriander ; dressed with cheese mayo, chili garlic sauce, tandoori mayo",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Sandwich,Tandoori Chicken Sandwich,199,"Grilled sandwich with chopped onion, tandoori masala, shredded chicken, chopped coriander; dressed with cheese mayo, chili garlic sauce, tandoori mayo",1
Craving O Clock,Btm 2nd Stage,4.3,100+,Sandwich,Chicken Club Grilled Sandwich,275,"Double decker grilled sandwich with shredded chicken, onion, sweet corn, olives, jalapeno, scrambled egg; dressed with cheese mayo, chili garlic sauce, thousand island mayo.",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Wraps,Classic Paneer Wrap,235,"Crispy paneer patty, iceberg lettuce, onion; wrapped in a flour tortilla; dressed with classic mayo, tandoori mayo.",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Wraps,Tandoori Paneer Wrap,235,"Tandoori grilled paneer slice, iceberg lettuce, onion; wrapped in a flour tortilla; dressed with classic mayo, tandoori mayo, chili garlic sauce.",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Wraps,Peri Peri Paneer Wrap,235,"Peri peri grilled paneer slice, iceberg lettuce, onion; wrapped in a flour tortilla; dressed with classic mayo, tandoori mayo, chili garlic sauce.",0
Craving O Clock,Btm 2nd Stage,4.3,100+,Wraps,Crispy Veg Wrap,175,"Crispy vegetable patty, iceberg lettuce, onion; wrapped in a flour tortilla, dressed with classic mayo, thousand island mayo.",0
